,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
32,MOFFusion_h2_nia+N177+N192+E105,-1.6904296875,4.56640625,0.5324616770973177,0.05145263671875,0.0179312471,0.137451171875,0.0585803673,0.46875,0.173095703125,0.1100179972,3.033203125,2.31581679,3.458984375,2.72482227,1.810546875,1.38068388,0.1004638671875,0.0406491202,MOFFusion_h2
0,MOFReinforce_c02_acs+N442+20,-0.333251953125,6.80078125,8.93932172067588,0.060760498046875,0.2394283393,0.1893310546875,1.3320574486,0.468017578125,0.142578125,0.1490110201,3.482421875,6.75377194,3.99609375,5.92431766,2.2578125,2.42631127,0.1334228515625,1.0926291093,MOFReinforce_c02
54,MOFFusion_h2_ukt+N177+E70,-0.455078125,4.83203125,0.5593555680641934,0.0531005859375,0.0136956491,0.2265625,0.051527927,0.45849609375,0.16357421875,0.0921201646,3.435546875,2.79437366,3.578125,3.06014644,1.892578125,1.7050021,0.11480712890625,0.0378322779,MOFFusion_h2
5,MOFReinforce_c02_bcg+N131+54,-1.423828125,7.0859375,1.9003708281809208,0.053466796875,0.0402796136,0.25390625,0.2789453963,0.43798828125,0.1796875,0.1467847181,4.12890625,4.55097108,4.48046875,5.06970863,2.544921875,2.46444611,0.1405029296875,0.2386657827,MOFReinforce_c02
69,MOFFusion_h2_wfa+N651+E195,-0.51953125,3.91796875,,0.07513427734375,,0.214111328125,,0.436279296875,0.214599609375,,3.087890625,,3.29296875,,1.7099609375,,0.12445068359375,,MOFFusion_h2
77,MOFFusion_h2_wmk+N541+E19,0.184814453125,5.74609375,,0.05511474609375,,0.2330322265625,,0.42041015625,0.1746826171875,,3.701171875,,3.693359375,,2.00390625,,0.154296875,,MOFFusion_h2
70,MOFFusion_h2_wfu+N284+E15,-0.50634765625,8.6796875,1.2758481015083174,0.11712646484375,0.0471700133,0.77587890625,0.2727374929,0.408935546875,0.225830078125,0.2137695644,5.25,4.330625029999999,5.02734375,4.5722134,2.8046875,2.55070121,0.76904296875,0.2255674795999999,MOFFusion_h2
22,MOFReinforce_c02_lcy+N442+22,0.1260986328125,5.83984375,,0.05438232421875,,0.1494140625,,0.3994140625,0.1680908203125,,3.423828125,,3.80078125,,2.048828125,,0.1005859375,,MOFReinforce_c02
29,MOFFusion_h2_nbo+N300+E70,-0.5146484375,3.1875,0.5668242903599965,0.05963134765625,0.0234047131,0.12744140625,0.0791451136,0.39697265625,0.177734375,0.1396290084,2.564453125,2.67663509,2.65234375,3.00419893,1.537109375,1.42557286,0.07635498046875,0.0557404004999999,MOFFusion_h2
58,MOFFusion_h2_unc+N599+E15,-0.1427001953125,3.630859375,0.3495207667387867,0.055999755859375,0.0180343031,0.1441650390625,0.0474267491,0.38623046875,0.220458984375,0.1356907904,2.724609375,2.18304273,2.95703125,2.39326713,1.49609375,1.3331013699999998,0.0882568359375,0.029392446,MOFFusion_h2
