,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
9,MOFFusion_uncond_ecu+N542+E150,-1.2744140625,7.75390625,1.3029433961586117,0.10479736328125,0.0735502553,0.55224609375,0.4377013467,0.8779296875,0.278076171875,0.3359327412,4.56640625,4.31231524,4.46484375,5.017073659999999,2.51953125,2.4601226,0.352783203125,0.3641510914,MOFFusion_uncond
53,MOFFusion_h2_ukf+N164+E134,,4.17578125,1.3201814056083312,0.080322265625,0.0641450139,0.272216796875,0.4158711256,,0.2308349609375,0.3150105916,2.984375,4.11008778,3.3203125,4.82141392,1.77734375,2.00423966,0.12371826171875,0.3517261117,MOFFusion_h2
10,MOFFusion_text_lta+N308+E120,-0.4814453125,3.29296875,3.6203915332096175,0.07830810546875,0.6503390304,0.1953125,0.9647048679,-1.564453125,0.272216796875,0.2664642371,2.232421875,-3052.69642282,2.578125,4038.27963011,1.3603515625,289.92543406999994,0.12164306640625,0.3143658375,MOFFusion_text
78,MOFFusion_uncond_wli+N300+E122,-0.60400390625,4.62890625,1.5590577308212714,0.08148193359375,0.0541128901,0.224365234375,0.3596555453,0.41845703125,0.240478515625,0.2306877662,3.169921875,3.95454897,3.47265625,4.925749369999999,1.8173828125,1.71672744,0.1278076171875,0.3055426552,MOFFusion_uncond
89,MOFFusion_pore_vmq+N599+E50,,9.0859375,1.968019784527932,0.06292724609375,0.0494600712,0.392333984375,0.3509809544,,0.1649169921875,0.178342188,4.47265625,4.79213403,4.84765625,5.0652943,2.76953125,2.85082785,0.2105712890625,0.3015208832,MOFFusion_pore
47,MOFFusion_h2_svn+N583+E15,-0.09478759765625,8.7421875,1.7503248375661369,0.06646728515625,0.05439904,0.411376953125,0.3470440761,0.54736328125,0.166259765625,0.1982740967,4.91015625,4.53491745,4.87109375,4.83561052,2.61328125,2.63247506,0.270751953125,0.2926450361,MOFFusion_h2
34,MOFFusion_uncond_smb+N589+E150,-1.5341796875,5.30078125,1.2302744920150634,0.08489990234375,0.0587077985,0.35302734375,0.3260124094,0.2705078125,0.2406005859375,0.2649916027,3.20703125,4.18775561,3.87890625,4.77027031,2.087890625,2.1400777,0.18701171875,0.2673046108999999,MOFFusion_uncond
37,MOFFusion_pore_scu+N103+N439+E0,,9.8828125,1.781338705668435,0.0838623046875,0.0440565832,0.398193359375,0.3101978897,,0.2197265625,0.1741375117,4.625,4.8029679,5.02734375,5.172287429999999,2.66796875,2.8595155,0.254150390625,0.2661413065,MOFFusion_pore
85,MOFFusion_h2_zfu+N651+E95,-0.40771484375,6.73828125,1.6901223778503496,0.099853515625,0.0431613676,0.3017578125,0.3087974254,0.69384765625,0.1756591796875,0.1827071397,4.19140625,4.31586439,4.375,5.16757674,2.322265625,2.22847663,0.2025146484375,0.2656360578,MOFFusion_h2
35,MOFFusion_pore_reo+N103+E0,,7.015625,1.4856370397279408,0.074462890625,0.0538754042,0.427978515625,0.3075795803,,0.2255859375,0.2070354818,4.41015625,4.91992255,4.3828125,5.18154629,2.462890625,2.79740179,0.287841796875,0.2537041761,MOFFusion_pore
